experience_years,education_level,gender,race,income
12.6,3,Male,GroupB,>50K
9.0,2,Male,GroupB,>50K
1.5,2,Female,GroupA,<=50K
4.5,2,Male,GroupB,<=50K
19.1,3,Female,GroupA,>50K
12.9,3,Male,GroupB,>50K
13.9,2,Male,GroupC,>50K
16.6,4,Male,GroupA,>50K
16.2,3,Male,GroupA,>50K
0.3,2,Male,GroupB,<=50K
2.3,1,Male,GroupC,<=50K
15.4,1,Female,GroupB,<=50K
11.0,1,Male,GroupA,>50K
0.7,3,Female,GroupA,<=50K
4.5,1,Male,GroupB,<=50K
8.0,3,Male,GroupA,>50K
4.8,2,Male,GroupC,<=50K
10.7,2,Male,GroupA,>50K
3.4,4,Male,GroupC,<=50K
4.6,1,Male,GroupA,<=50K
5.9,2,Female,GroupA,<=50K
18.7,1,Male,GroupB,<=50K
3.7,3,Male,GroupA,<=50K
13.3,1,Male,GroupC,<=50K
18.7,1,Male,GroupA,>50K
13.8,3,Male,GroupA,>50K
14.6,3,Male,GroupA,>50K
10.1,3,Female,GroupC,<=50K
14.8,2,Male,GroupC,>50K
10.9,3,Female,GroupC,<=50K
0.1,3,Male,GroupA,<=50K
16.6,2,Male,GroupC,>50K
13.4,3,Male,GroupB,>50K
9.9,1,Male,GroupB,<=50K
15.4,3,Male,GroupA,>50K
3.7,3,Male,GroupA,>50K
11.4,1,Male,GroupA,>50K
16.2,2,Male,GroupA,>50K
1.6,1,Female,GroupA,<=50K
6.6,4,Female,GroupA,<=50K
12.9,3,Male,GroupA,>50K
18.9,2,Male,GroupA,>50K
4.4,2,Female,GroupC,<=50K
15.6,2,Male,GroupA,>50K
7.9,1,Female,GroupC,<=50K
2.1,4,Male,GroupA,>50K
0.7,3,Male,GroupA,>50K
3.6,2,Male,GroupA,<=50K
1.4,3,Female,GroupA,<=50K
19.5,3,Male,GroupA,>50K
3.4,3,Male,GroupA,>50K
17.0,2,Male,GroupB,>50K
11.0,1,Male,GroupA,>50K
4.7,1,Male,GroupA,<=50K
16.0,2,Male,GroupA,>50K
2.3,2,Male,GroupC,<=50K
5.5,3,Female,GroupA,<=50K
19.7,4,Male,GroupB,>50K
15.0,3,Male,GroupA,>50K
10.6,3,Female,GroupA,>50K
15.2,3,Male,GroupC,>50K
0.4,2,Male,GroupA,<=50K
0.1,3,Male,GroupA,<=50K
5.5,1,Male,GroupA,<=50K
3.7,2,Male,GroupB,<=50K
0.5,1,Male,GroupC,<=50K
1.3,2,Male,GroupB,<=50K
1.0,1,Male,GroupC,<=50K
10.9,1,Male,GroupB,<=50K
0.2,3,Male,GroupA,<=50K
4.8,4,Male,GroupA,>50K
16.7,2,Male,GroupB,>50K
7.0,1,Male,GroupB,<=50K
0.6,2,Male,GroupA,<=50K
8.0,2,Male,GroupB,<=50K
18.5,3,Male,GroupA,>50K
8.2,2,Male,GroupC,>50K
16.4,2,Male,GroupB,>50K
6.2,3,Male,GroupB,<=50K
2.8,3,Male,GroupB,>50K
17.5,2,Male,GroupB,>50K
2.6,2,Male,GroupB,<=50K
10.8,3,Female,GroupA,>50K
11.9,2,Male,GroupA,>50K
11.8,2,Male,GroupA,>50K
10.9,2,Male,GroupA,>50K
2.1,1,Female,GroupA,<=50K
15.0,3,Male,GroupC,>50K
12.7,1,Male,GroupC,<=50K
4.4,1,Male,GroupA,<=50K
17.5,3,Male,GroupA,>50K
7.1,2,Female,GroupA,<=50K
0.8,2,Male,GroupB,<=50K
3.0,2,Male,GroupA,<=50K
0.7,4,Male,GroupC,<=50K
17.9,1,Male,GroupA,>50K
7.4,1,Male,GroupC,<=50K
